Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	00ea4b4b282c35356fc11b5bbef63a1f63a95aac
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7031, 0.7031, 2.1)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	48.9791312382139
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1102.0
diagnostics	Mask-original	Hash	b1bb1a8436fb0825e7ac7f104ece3f5e85bf19d7
diagnostics	Mask-original	Spacing	(0.7031, 0.7031, 2.1)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(84, 238, 56, 50, 92, 16)
diagnostics	Mask-original	VoxelNum	10105
diagnostics	Mask-original	VolumeNum	21
diagnostics	Mask-original	CenterOfMassIndex	(108.73765462642257, 274.2546264225631, 62.11271647699159)
diagnostics	Mask-original	CenterOfMass	(111.00055503216231, -11.228427837704032, 8.015704601682344)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(47, 77, 46)
diagnostics	Image-interpolated	Mean	96.89018104929298
diagnostics	Image-interpolated	Minimum	-13.0
diagnostics	Image-interpolated	Maximum	478.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(47, 77, 46)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 7, 34, 65, 33)
diagnostics	Mask-interpolated	VoxelNum	10444
diagnostics	Mask-interpolated	VolumeNum	12
diagnostics	Mask-interpolated	CenterOfMassIndex	(23.26177709689774, 31.511106855610876, 20.161911145155113)
diagnostics	Mask-interpolated	CenterOfMass	(111.04377290310227, -11.059556855610822, 8.190911145155109)
diagnostics	Mask-interpolated	Mean	179.02077747989276
diagnostics	Mask-interpolated	Minimum	-4.0
diagnostics	Mask-interpolated	Maximum	478.0
original	shape	Elongation	0.5553478173076901
original	shape	Flatness	0.36951115867210976
original	shape	LeastAxisLength	18.729410421778777
original	shape	MajorAxisLength	50.686995459313174
original	shape	Maximum2DDiameterColumn	37.20215047547655
original	shape	Maximum2DDiameterRow	61.40032573203501
original	shape	Maximum2DDiameterSlice	66.76076692189807
original	shape	Maximum3DDiameter	67.7864293203293
original	shape	MeshVolume	10185.916666666666
original	shape	MinorAxisLength	28.148912294214366
original	shape	Sphericity	0.35708666529827815
original	shape	SurfaceArea	6363.712796194345
original	shape	SurfaceVolumeRatio	0.6247560238755483
original	shape	VoxelVolume	10444.0
original	firstorder	10Percentile	76.0
original	firstorder	90Percentile	262.0
original	firstorder	Energy	389060733.0
