Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	0043a1db36cc454b2a551b63fbd0afa19ea80454
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6641, 0.6641, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	54.79385053700414
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1600.0
diagnostics	Mask-original	Hash	44ca9acb4140ccabe69daf325e92844b5138ebe7
diagnostics	Mask-original	Spacing	(0.6641, 0.6641, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(360, 278, 30, 17, 46, 4)
diagnostics	Mask-original	VoxelNum	1096
diagnostics	Mask-original	VolumeNum	6
diagnostics	Mask-original	CenterOfMassIndex	(365.9470802919708, 301.3029197080292, 31.57846715328467)
diagnostics	Mask-original	CenterOfMass	(-64.5894560218978, -34.330268978102225, -57.696065693430654)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(24, 42, 19)
diagnostics	Image-interpolated	Mean	126.12233709273183
diagnostics	Image-interpolated	Minimum	-4.0
diagnostics	Image-interpolated	Maximum	419.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(24, 42, 19)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 11, 30, 8)
diagnostics	Mask-interpolated	VoxelNum	964
diagnostics	Mask-interpolated	VolumeNum	2
diagnostics	Mask-interpolated	CenterOfMassIndex	(9.87136929460581, 20.90871369294606, 9.645228215767634)
diagnostics	Mask-interpolated	CenterOfMass	(-64.60331929460583, -34.31166369294609, -57.707771784232364)
diagnostics	Mask-interpolated	Mean	275.0383817427386
diagnostics	Mask-interpolated	Minimum	60.0
diagnostics	Mask-interpolated	Maximum	419.0
original	shape	Elongation	0.33570159674308053
original	shape	Flatness	0.3048022612455572
original	shape	LeastAxisLength	7.976161193000504
original	shape	MajorAxisLength	26.168313713967777
original	shape	Maximum2DDiameterColumn	12.206555615733702
original	shape	Maximum2DDiameterRow	30.4138126514911
original	shape	Maximum2DDiameterSlice	30.066592756745816
original	shape	Maximum3DDiameter	30.822070014844883
original	shape	MeshVolume	933.625
original	shape	MinorAxisLength	8.784744697852835
original	shape	Sphericity	0.4590143029136438
original	shape	SurfaceArea	1006.4052362950396
original	shape	SurfaceVolumeRatio	1.0779544638318808
original	shape	VoxelVolume	964.0
original	firstorder	10Percentile	166.3
original	firstorder	90Percentile	357.0
original	firstorder	Energy	77967265.0
original	firstorder	Entropy	3.4451361208681495
