Image type	Feature Class	Feature Name	ROI_35_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	c9d0cabbceaadba3f090e16fc7b394460cc6ac9c
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6641, 0.6641, 1.999995652173913)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	72.13693161668449
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1281.0
diagnostics	Mask-original	Hash	9b5c182ca14c9ac0b49b550238102b807f51e4aa
diagnostics	Mask-original	Spacing	(0.6641, 0.6641, 1.999995652173913)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(147, 321, 38, 16, 26, 5)
diagnostics	Mask-original	VoxelNum	1001
diagnostics	Mask-original	VolumeNum	3
diagnostics	Mask-original	CenterOfMassIndex	(154.7972027972028, 334.3086913086913, 39.72827172827173)
diagnostics	Mask-original	CenterOfMass	(59.06217762237762, -37.712401898101916, -17.70212927507272)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(22, 30, 22)
diagnostics	Image-interpolated	Mean	209.08698347107438
diagnostics	Image-interpolated	Minimum	14.0
diagnostics	Image-interpolated	Maximum	544.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(22, 30, 22)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 7, 10, 17, 10)
diagnostics	Mask-interpolated	VoxelNum	874
diagnostics	Mask-interpolated	VolumeNum	2
diagnostics	Mask-interpolated	CenterOfMassIndex	(10.709382151029748, 14.736842105263158, 10.905034324942791)
diagnostics	Mask-interpolated	CenterOfMass	(58.985667848970245, -37.602792105263184, -17.75346350114414)
diagnostics	Mask-interpolated	Mean	337.7059496567506
diagnostics	Mask-interpolated	Minimum	72.0
diagnostics	Mask-interpolated	Maximum	522.0
original	shape	Elongation	0.6512942094554874
original	shape	Flatness	0.5907471852694435
original	shape	LeastAxisLength	9.101395630360395
original	shape	MajorAxisLength	15.40658314979392
original	shape	Maximum2DDiameterColumn	12.206555615733702
original	shape	Maximum2DDiameterRow	17.26267650163207
original	shape	Maximum2DDiameterSlice	17.029386365926403
original	shape	Maximum3DDiameter	17.97220075561143
original	shape	MeshVolume	858.9583333333334
original	shape	MinorAxisLength	10.034218392955266
original	shape	Sphericity	0.6565631017287045
original	shape	SurfaceArea	665.5628161298374
original	shape	SurfaceVolumeRatio	0.7748487793895754
original	shape	VoxelVolume	874.0
original	firstorder	10Percentile	181.0
original	firstorder	90Percentile	478.0
original	firstorder	Energy	111662931.0
