Image type	Feature Class	Feature Name	ROI_33_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	2500aa00c5568fb982c5666f0aa220cb87fe76c3
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7421999999999999, 0.7421999999999999, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	46.25500780960609
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1182.0
diagnostics	Mask-original	Hash	d095a5ffd40e91d5f10be1bb689715268edf04b4
diagnostics	Mask-original	Spacing	(0.7421999999999999, 0.7421999999999999, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(356, 325, 29, 26, 56, 5)
diagnostics	Mask-original	VoxelNum	565
diagnostics	Mask-original	VolumeNum	22
diagnostics	Mask-original	CenterOfMassIndex	(368.0265486725664, 353.71150442477875, 30.994690265486724)
diagnostics	Mask-original	CenterOfMass	(-88.67930442477873, -50.456678584070715, -47.15661946902655)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(32, 54, 21)
diagnostics	Image-interpolated	Mean	122.83184523809524
diagnostics	Image-interpolated	Minimum	-9.0
diagnostics	Image-interpolated	Maximum	422.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(32, 54, 21)
diagnostics	Mask-interpolated	BoundingBox	(6, 7, 6, 20, 40, 10)
diagnostics	Mask-interpolated	VoxelNum	668
diagnostics	Mask-interpolated	VolumeNum	17
diagnostics	Mask-interpolated	CenterOfMassIndex	(15.065868263473053, 27.676646706586826, 10.332335329341317)
diagnostics	Mask-interpolated	CenterOfMass	(-88.72476826347304, -50.737546706586855, -47.31366467065868)
diagnostics	Mask-interpolated	Mean	261.372754491018
diagnostics	Mask-interpolated	Minimum	41.0
diagnostics	Mask-interpolated	Maximum	421.0
original	shape	Elongation	0.35661692937606565
original	shape	Flatness	0.15400230253199343
original	shape	LeastAxisLength	6.219415361918659
original	shape	MajorAxisLength	40.385210218701744
original	shape	Maximum2DDiameterColumn	19.313207915827967
original	shape	Maximum2DDiameterRow	35.12833614050059
original	shape	Maximum2DDiameterSlice	42.05948168962618
original	shape	Maximum3DDiameter	42.16633728461603
original	shape	MeshVolume	595.7916666666666
original	shape	MinorAxisLength	14.402049660400326
original	shape	Sphericity	0.3596790570513466
original	shape	SurfaceArea	951.9889843951227
original	shape	SurfaceVolumeRatio	1.597855488179799
original	shape	VoxelVolume	668.0
original	firstorder	10Percentile	165.7
original	firstorder	90Percentile	357.0
original	firstorder	Energy	49311429.0
