Image type	Feature Class	Feature Name	ROI_29_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	5d2d5df9edd3beaca66182a19bec9e1b42fe773b
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7421999999999999, 0.7421999999999999, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	39.80233804110823
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	960.0
diagnostics	Mask-original	Hash	b087986c1e0c6f2d332eab74ed3c5db080c150c1
diagnostics	Mask-original	Spacing	(0.7421999999999999, 0.7421999999999999, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(326, 340, 49, 27, 17, 8)
diagnostics	Mask-original	VoxelNum	428
diagnostics	Mask-original	VolumeNum	7
diagnostics	Mask-original	CenterOfMassIndex	(338.35046728971963, 347.39953271028037, 52.745327102803735)
diagnostics	Mask-original	CenterOfMass	(-61.494716822429865, -68.21093317757007, -10.204345794392566)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(32, 25, 27)
diagnostics	Image-interpolated	Mean	62.11824074074074
diagnostics	Image-interpolated	Minimum	-13.0
diagnostics	Image-interpolated	Maximum	477.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(32, 25, 27)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 20, 11, 16)
diagnostics	Mask-interpolated	VoxelNum	488
diagnostics	Mask-interpolated	VolumeNum	4
diagnostics	Mask-interpolated	CenterOfMassIndex	(14.954918032786885, 11.65983606557377, 14.19672131147541)
diagnostics	Mask-interpolated	CenterOfMass	(-61.45481803278694, -68.1597360655738, -9.998278688524627)
diagnostics	Mask-interpolated	Mean	63.39139344262295
diagnostics	Mask-interpolated	Minimum	2.0
diagnostics	Mask-interpolated	Maximum	388.0
original	shape	Elongation	0.8638522430827658
original	shape	Flatness	0.4034769860766673
original	shape	LeastAxisLength	6.514677704263008
original	shape	MajorAxisLength	16.14634273843096
original	shape	Maximum2DDiameterColumn	19.235384061671343
original	shape	Maximum2DDiameterRow	17.88854381999832
original	shape	Maximum2DDiameterSlice	20.223748416156685
original	shape	Maximum3DDiameter	20.248456731316587
original	shape	MeshVolume	450.875
original	shape	MinorAxisLength	13.948054392176712
original	shape	Sphericity	0.44504811304046615
original	shape	SurfaceArea	638.9221298204832
original	shape	SurfaceVolumeRatio	1.417071538276647
original	shape	VoxelVolume	488.0
original	firstorder	10Percentile	21.0
original	firstorder	90Percentile	135.3
original	firstorder	Energy	3804157.0
