Image type	Feature Class	Feature Name	ROI_18_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	3e85e890edbc5c63f22fd9c683b641853b4eb8f7
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6445, 0.6445, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	54.711830073389514
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	968.0
diagnostics	Mask-original	Hash	44ee31f61729dc8706fbab52271bc057fad97d03
diagnostics	Mask-original	Spacing	(0.6445, 0.6445, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(328, 237, 68, 34, 35, 10)
diagnostics	Mask-original	VoxelNum	2534
diagnostics	Mask-original	VolumeNum	9
diagnostics	Mask-original	CenterOfMassIndex	(343.7446724546172, 251.34175217048144, 71.54222573007104)
diagnostics	Mask-original	CenterOfMass	(-60.07344139700075, 1.7122407261247474, 18.328451460142077)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(33, 34, 31)
diagnostics	Image-interpolated	Mean	148.35777126099705
diagnostics	Image-interpolated	Minimum	-5.0
diagnostics	Image-interpolated	Maximum	525.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(33, 34, 31)
diagnostics	Mask-interpolated	BoundingBox	(5, 7, 6, 22, 21, 20)
diagnostics	Mask-interpolated	VoxelNum	2054
diagnostics	Mask-interpolated	VolumeNum	6
diagnostics	Mask-interpolated	CenterOfMassIndex	(15.427458617332036, 14.91139240506329, 13.60029211295034)
diagnostics	Mask-interpolated	CenterOfMass	(-60.13520861733198, 1.6128575949367345, 18.344292112950342)
diagnostics	Mask-interpolated	Mean	271.4216163583252
diagnostics	Mask-interpolated	Minimum	9.0
diagnostics	Mask-interpolated	Maximum	525.0
original	shape	Elongation	0.8514880760784657
original	shape	Flatness	0.6403482279983367
original	shape	LeastAxisLength	13.627085128717265
original	shape	MajorAxisLength	21.280741529205358
original	shape	Maximum2DDiameterColumn	22.825424421026653
original	shape	Maximum2DDiameterRow	24.08318915758459
original	shape	Maximum2DDiameterSlice	23.323807579381203
original	shape	Maximum3DDiameter	25.15949125081825
original	shape	MeshVolume	1993.5416666666667
original	shape	MinorAxisLength	18.120297662226175
original	shape	Sphericity	0.43312175454811563
original	shape	SurfaceArea	1768.578488136122
original	shape	SurfaceVolumeRatio	0.8871540122325619
original	shape	VoxelVolume	2054.0
original	firstorder	10Percentile	150.0
original	firstorder	90Percentile	385.0
original	firstorder	Energy	168356774.0
