Image type	Feature Class	Feature Name	ROI_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	3bf3dfb1e09f3857f042bf05dcbe6a3f30987992
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6836, 0.6836, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	62.92871212137157
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1743.0
diagnostics	Mask-original	Hash	83e334cfcc7c697b50947a1be36fef3f74ddf384
diagnostics	Mask-original	Spacing	(0.6836, 0.6836, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(98, 252, 44, 97, 83, 23)
diagnostics	Mask-original	VoxelNum	53600
diagnostics	Mask-original	VolumeNum	74
diagnostics	Mask-original	CenterOfMassIndex	(144.08414179104477, 291.89787313432834, 54.56990671641791)
diagnostics	Mask-original	CenterOfMass	(80.06508067164181, -1.4683860746268351, -18.262186567164136)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(78, 69, 57)
diagnostics	Image-interpolated	Mean	191.78788945608167
diagnostics	Image-interpolated	Minimum	-17.0
diagnostics	Image-interpolated	Maximum	858.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(78, 69, 57)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 66, 57, 46)
diagnostics	Mask-interpolated	VoxelNum	49968
diagnostics	Mask-interpolated	VolumeNum	41
diagnostics	Mask-interpolated	CenterOfMassIndex	(37.327889849503684, 33.33009125840538, 27.659542106948447)
diagnostics	Mask-interpolated	CenterOfMass	(80.07491015049632, -1.415291258405368, -18.24245789305151)
diagnostics	Mask-interpolated	Mean	409.18301713096383
diagnostics	Mask-interpolated	Minimum	3.0
diagnostics	Mask-interpolated	Maximum	858.0
original	shape	Elongation	0.7758735044751979
original	shape	Flatness	0.5040790388289689
original	shape	LeastAxisLength	30.889164711283954
original	shape	MajorAxisLength	61.27841535137601
original	shape	Maximum2DDiameterColumn	66.12866246946176
original	shape	Maximum2DDiameterRow	64.66065264130884
original	shape	Maximum2DDiameterSlice	71.8679344353238
original	shape	Maximum3DDiameter	77.36278174936577
original	shape	MeshVolume	49506.25
original	shape	MinorAxisLength	47.54429886735887
original	shape	Sphericity	0.2611694250172234
original	shape	SurfaceArea	24965.20550199605
original	shape	SurfaceVolumeRatio	0.504283913687586
original	shape	VoxelVolume	49968.0
original	firstorder	10Percentile	223.0
original	firstorder	90Percentile	582.0
original	firstorder	Energy	9294827137.0
original	firstorder	Entropy	4.466803502966165
