Image type	Feature Class	Feature Name	ROI_50_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	837670c16b929c95965ac17fddacf5766d3ecb86
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	43.47568607330322
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1201.0
diagnostics	Mask-original	Hash	ec7f8fa86c9ca83f4ceb87d2ed1848f2d47829f7
diagnostics	Mask-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(93, 360, 64, 31, 29, 5)
diagnostics	Mask-original	VoxelNum	880
diagnostics	Mask-original	VolumeNum	4
diagnostics	Mask-original	CenterOfMassIndex	(110.63295454545455, 376.4318181818182, 66.09318181818182)
diagnostics	Mask-original	CenterOfMass	(79.42396965909091, -75.26421136363638, 3.8083636363636515)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(33, 33, 21)
diagnostics	Image-interpolated	Mean	93.78018278018278
diagnostics	Image-interpolated	Minimum	-7.0
diagnostics	Image-interpolated	Maximum	427.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(33, 33, 21)
diagnostics	Mask-interpolated	BoundingBox	(5, 7, 6, 22, 20, 10)
diagnostics	Mask-interpolated	VoxelNum	848
diagnostics	Mask-interpolated	VolumeNum	3
diagnostics	Mask-interpolated	CenterOfMassIndex	(17.34433962264151, 17.764150943396228, 10.70754716981132)
diagnostics	Mask-interpolated	CenterOfMass	(79.7172103773585, -75.50760094339626, 3.8295471698113346)
diagnostics	Mask-interpolated	Mean	98.27712264150944
diagnostics	Mask-interpolated	Minimum	10.0
diagnostics	Mask-interpolated	Maximum	327.0
original	shape	Elongation	0.4693920907629516
original	shape	Flatness	0.35215159812707
original	shape	LeastAxisLength	8.710026347117125
original	shape	MajorAxisLength	24.73374079073243
original	shape	Maximum2DDiameterColumn	20.248456731316587
original	shape	Maximum2DDiameterRow	15.811388300841896
original	shape	Maximum2DDiameterSlice	23.853720883753127
original	shape	Maximum3DDiameter	26.28687885618983
original	shape	MeshVolume	805.8333333333334
original	shape	MinorAxisLength	11.609822302150794
original	shape	Sphericity	0.4536959926766396
original	shape	SurfaceArea	923.0303895950426
original	shape	SurfaceVolumeRatio	1.1454358505833
original	shape	VoxelVolume	848.0
original	firstorder	10Percentile	38.0
original	firstorder	90Percentile	176.0
original	firstorder	Energy	11071233.0
original	firstorder	Entropy	3.0433920356159643
