Image type	Feature Class	Feature Name	ROI_42_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	8e8854eb70ac138caa0c8b1f5106aa606b1f3409
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	47.333329167859304
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1326.0
diagnostics	Mask-original	Hash	b08530bcee9d0641a4c96c5b4b2cf945b35d8ee1
diagnostics	Mask-original	Spacing	(0.7031, 0.7031, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(133, 344, 44, 4, 7, 3)
diagnostics	Mask-original	VoxelNum	37
diagnostics	Mask-original	VolumeNum	1
diagnostics	Mask-original	CenterOfMassIndex	(134.21621621621622, 346.9189189189189, 44.78378378378378)
diagnostics	Mask-original	CenterOfMass	(86.24457837837838, -44.75869189189186, -23.481432432432428)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(14, 17, 17)
diagnostics	Image-interpolated	Mean	38.74295600593179
diagnostics	Image-interpolated	Minimum	0.0
diagnostics	Image-interpolated	Maximum	248.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(14, 17, 17)
diagnostics	Mask-interpolated	BoundingBox	(6, 6, 6, 2, 5, 6)
diagnostics	Mask-interpolated	VoxelNum	28
diagnostics	Mask-interpolated	VolumeNum	1
diagnostics	Mask-interpolated	CenterOfMassIndex	(6.357142857142857, 8.0, 7.928571428571429)
diagnostics	Mask-interpolated	CenterOfMass	(86.10640714285712, -44.98845000000003, -23.620428571428562)
diagnostics	Mask-interpolated	Mean	144.03571428571428
diagnostics	Mask-interpolated	Minimum	56.0
diagnostics	Mask-interpolated	Maximum	240.0
original	shape	Elongation	0.9560282222071006
original	shape	Flatness	0.27995163897236064
original	shape	LeastAxisLength	1.4711626730204657
original	shape	MajorAxisLength	5.255060046873711
original	shape	Maximum2DDiameterColumn	6.082762530298219
original	shape	Maximum2DDiameterRow	5.830951894845301
original	shape	Maximum2DDiameterSlice	5.0990195135927845
original	shape	Maximum3DDiameter	6.4031242374328485
original	shape	MeshVolume	22.5
original	shape	MinorAxisLength	5.023985714204237
original	shape	Sphericity	0.6758968597496742
original	shape	SurfaceArea	57.0241352216485
original	shape	SurfaceVolumeRatio	2.5344060098510446
original	shape	VoxelVolume	28.0
original	firstorder	10Percentile	70.4
original	firstorder	90Percentile	205.0
original	firstorder	Energy	659341.0
original	firstorder	Entropy	2.879706048806277
