Image type	Feature Class	Feature Name	ROI_25_segment_Mass
diagnostics	Versions	PyRadiomics	v3.0.1.post15+g2791e23
diagnostics	Versions	Numpy	1.23.4
diagnostics	Versions	SimpleITK	2.2.0rc2.dev368
diagnostics	Versions	PyWavelet	1.5.0
diagnostics	Versions	Python	3.9.10
diagnostics	Configuration	Settings	{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}
diagnostics	Configuration	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}
diagnostics	Image-original	Hash	2f835bb3cd23630b89598e870751935a19e29d53
diagnostics	Image-original	Dimensionality	3D
diagnostics	Image-original	Spacing	(0.6641, 0.6641, 2.0)
diagnostics	Image-original	Size	(512, 512, 116)
diagnostics	Image-original	Mean	62.01341336348961
diagnostics	Image-original	Minimum	0.0
diagnostics	Image-original	Maximum	1062.0
diagnostics	Mask-original	Hash	bf65568d3c8fb374350e65111220d91b7fa3bba2
diagnostics	Mask-original	Spacing	(0.6641, 0.6641, 2.0)
diagnostics	Mask-original	Size	(512, 512, 116)
diagnostics	Mask-original	BoundingBox	(341, 252, 62, 35, 33, 15)
diagnostics	Mask-original	VoxelNum	1456
diagnostics	Mask-original	VolumeNum	35
diagnostics	Mask-original	CenterOfMassIndex	(356.2129120879121, 268.1600274725275, 69.01854395604396)
diagnostics	Mask-original	CenterOfMass	(-66.19799491758243, 10.118925755494502, 36.69608791208793)
diagnostics	Image-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Image-interpolated	Size	(35, 33, 41)
diagnostics	Image-interpolated	Mean	110.5597508182874
diagnostics	Image-interpolated	Minimum	-4.0
diagnostics	Image-interpolated	Maximum	482.0
diagnostics	Mask-interpolated	Spacing	(1.0, 1.0, 1.0)
diagnostics	Mask-interpolated	Size	(35, 33, 41)
diagnostics	Mask-interpolated	BoundingBox	(5, 5, 6, 23, 22, 30)
diagnostics	Mask-interpolated	VoxelNum	1298
diagnostics	Mask-interpolated	VolumeNum	15
diagnostics	Mask-interpolated	CenterOfMassIndex	(15.320493066255779, 15.902927580893683, 20.817411402157166)
diagnostics	Mask-interpolated	CenterOfMass	(-66.1254430662558, 10.133122419106334, 36.97641140215718)
diagnostics	Mask-interpolated	Mean	193.11864406779662
diagnostics	Mask-interpolated	Minimum	25.0
diagnostics	Mask-interpolated	Maximum	482.0
original	shape	Elongation	0.568709791561878
original	shape	Flatness	0.422818806623727
original	shape	LeastAxisLength	15.339330409469211
original	shape	MajorAxisLength	36.278732566216995
original	shape	Maximum2DDiameterColumn	32.31098884280702
original	shape	Maximum2DDiameterRow	33.28663395418648
original	shape	Maximum2DDiameterSlice	21.400934559032695
original	shape	Maximum3DDiameter	35.63705936241092
original	shape	MeshVolume	1081.625
original	shape	MinorAxisLength	20.632070435862378
original	shape	Sphericity	0.20943682557694288
original	shape	SurfaceArea	2433.0379832945882
original	shape	SurfaceVolumeRatio	2.2494283908883284
original	shape	VoxelVolume	1298.0
original	firstorder	10Percentile	89.0
original	firstorder	90Percentile	316.0
original	firstorder	Energy	58324294.0
original	firstorder	Entropy	3.7554879550381464
